date,oro,plata,petroleo,gas_natural,indice_oro,indice_plata,indice_petroleo,indice_gas_natural,indice_general_mx,alimentos_bebidas_mx,vivienda_mx,educacion_mx,transporte_mx,indice_general_es,alimentos_bebidas_es,vivienda_es,educacion_es,transporte_es,sui_h_es,sui_m_es,sui_es,sui_m_mx,sui_h_mx,sui_mx
2018-01-01,1339.0,17.2,64.73,2.99,107.92294672362375,103.80205190102593,140.59513466550825,98.35526315789474,98.79,98.13,98.6,99.31,98.78,95.15,94.38,93.52,98.03,94.36,218.25,76.66666666666667,294.9166666666667,104.41666666666667,454.5,567.3333333333334
2018-02-01,1315.5,16.32,61.64,2.67,106.02885467881033,98.49124924562463,133.88357949609036,87.82894736842105,99.17,98.62,98.85,99.76,99.37,95.28,94.22,93.88,98.04,93.81,218.25,76.66666666666667,294.9166666666667,104.41666666666667,454.5,567.3333333333334
2018-03-01,1322.8,16.22,64.94,2.73,106.61723220762471,97.88774894387447,141.05125977410947,89.80263157894737,99.49,98.79,99.08,99.78,99.56,95.39,94.3,92.07,98.04,93.74,218.25,76.66666666666667,294.9166666666667,104.41666666666667,454.5,567.3333333333334
2018-04-01,1311.4499999999998,16.31,65.99000000000001,2.84,105.70242604981057,98.4308992154496,143.3318853171156,93.42105263157893,99.15,99.0,99.3,99.79,99.78,96.18,94.41,91.99,98.05,94.82,218.25,76.66666666666667,294.9166666666667,104.41666666666667,454.5,567.3333333333334
2018-05-01,1300.1,16.4,67.04,2.95,104.78761989199646,98.97404948702473,145.61251086012166,97.03947368421053,98.99,99.29,99.5,99.83,99.88,97.05,95.07,93.64,98.05,96.55,218.25,76.66666666666667,294.9166666666667,104.41666666666667,454.5,567.3333333333334
2018-06-01,1251.3,16.1,74.15,2.92,100.85435641170307,97.1635485817743,161.05560382276283,96.05263157894737,99.38,99.53,99.74,99.88,99.92,97.3,95.5,94.13,98.05,96.9,218.25,76.66666666666667,294.9166666666667,104.41666666666667,454.5,567.3333333333334
2018-07-01,1225.8,15.27,71.975,2.92,98.7990650439268,92.15449607724804,156.3314509122502,96.05263157894737,99.91,99.95,99.95,99.99,100.0,96.6,94.83,94.98,98.09,96.71,218.25,76.66666666666667,294.9166666666667,104.41666666666667,454.5,567.3333333333334
2018-08-01,1200.3,14.44,69.8,2.92,96.74377367615055,87.14544357272177,151.60729800173763,96.05263157894737,100.49,100.36,100.11,101.43,100.26,96.74,94.87,95.59,98.1,96.86,218.25,76.66666666666667,294.9166666666667,104.41666666666667,454.5,567.3333333333334
2018-09-01,1191.5,14.62,73.25,3.01,96.03449665511404,88.23174411587206,159.1007819287576,99.01315789473684,100.92,100.77,100.34,103.5,100.39,96.98,94.86,96.62,98.44,97.26,218.25,76.66666666666667,294.9166666666667,104.41666666666667,454.5,567.3333333333334
2018-10-01,1212.3,14.23,65.31,3.26,97.71096961392762,85.87809293904647,141.85490877497827,107.23684210526314,101.44,101.03,100.5,103.51,100.57,97.88,96.02,96.72,98.66,97.88,218.25,76.66666666666667,294.9166666666667,104.41666666666667,454.5,567.3333333333334
